Year,Total_Death_Disaster_per_100000,Total_Affected_Disaster_per_100000,Forest area (% of land area),Total GHG Emissions per Capita (metric tons of CO2 equivalent per capita),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Forest area certified under an independently verified certification scheme (thousands of hectares),Red List Index,GDP Per Capita ($)
1960,,,,,,,,244.611
1961,,,,,,,,235.5297
1962,,,,,,,,240.4418
1963,,,,,,,,292.5758
1964,,,,,,,,302.6762
1965,0.06599922384912754,3299.961192456377,,,,,,325.1933
1966,,,,,,,,336.5564
1967,0.5218070470250423,1492.3681544916212,,,,,,332.8007
1968,0.23418469311826895,101.870341506447,,,,,,339.0965
1969,,,,,,,,364.2086
1970,0.5918590467304736,2357.733579598444,,,,,,374.9229
1971,,,,,,,,402.2149
1972,,,,,,,,466.9066
1973,,,,,,,,692.6815
1974,,,,,,,,837.7634
1975,,,,,,,,800.3824
1976,,,,,,,,927.8052
1977,0.0,0.4092013339308764,,,,,,1075.3393
1978,0.0,23.916022236160835,,,,,,1304.0673
1979,,,,,,,,1647.6308
1980,0.022700261136237358,24.213611878653182,,,,,,1852.9636
1981,,,,,,,,1843.3494
1982,,,,,,,,1925.4678
1983,0.06996499371504461,104.94749057256692,,,,,,2123.2586
1984,1.3617991109358325,0.04085397332807497,,,,,,2311.1704
1985,,,,,,,,2065.0883
1986,0.07069981245267933,160.68139193790756,,,,,,1782.5422
1987,0.018711287515585723,22.303854718578183,,,,,,2007.1729
1988,0.3449399368796225,364.91014375160063,,,,,,2134.5191
1989,0.2820187820983643,0.0,,,,,,2282.47
1990,,,62.75604930756353,4.5374645508314355,,,,2513.2414
1991,2.4365249182681867,21.151700372483052,62.47385481661848,5.0217025742357535,,,,2727.5286
1992,,,62.19166032567342,5.031062709036057,,,,3193.6354
1993,0.9396287479572917,131.23306535716364,61.90946583472835,5.239200121868273,,,0.80334,3511.5326
1994,0.36755879141156,0.0,61.627271343783285,5.4979746438546755,,,0.80253,3802.1076
1995,0.25823255311347015,15.106604357138005,61.34507685283823,5.718921185835667,,,0.80059,4405.1168
1996,1.6627152207223037,49.60594857637501,61.062882361893166,6.2162728343605504,,,0.79803,4874.8197
1997,0.640024757663567,135.5299484996549,60.780687870948114,6.49546673758392,,,0.79508,4706.3149
1998,0.6556462466636546,35.12063111499017,60.49849338000304,6.3455640075336035,,,0.79008,3308.8357
1999,0.004470541478689711,8.941082957379422,60.21629888905798,6.579597682560708,,,0.78552,3538.363
2000,0.36609043741269937,41.350786549663,59.93410439811292,6.889812439665899,22.69634,55.14,0.78113,4087.5626
2001,0.10619085461422838,141.0214549276953,59.70774615735809,6.962793358076369,22.69634,58.772,0.77716,3941.1227
2002,0.0497049905260217,0.642022794294447,59.48138791660325,7.15207705350473,23.45027,62.403999999999996,0.77305,4177.1049
2003,0.032337067361870496,75.99210830039567,59.25502967584843,7.376536943421976,23.45027,66.036,0.76937,4454.5268
2004,0.3828960417115106,304.3470898144245,59.02867143509359,7.8463697093388785,23.45956,69.66799999999999,0.766,4924.3381
2005,0.050147479880831076,118.0394526425716,58.802313194338765,8.077209864425901,24.82501,73.3,0.76209,5536.8375
2006,0.022633469854651252,401.81199032962365,58.57595495358393,8.181203752040831,24.88298,943.7219999999999,0.75888,6137.1505
2007,0.3764865127028764,614.6806707838051,58.3495967128291,8.663216392931444,27.18593,1814.1439999999998,0.75509,7144.0002
2008,0.0,28.91814055199525,58.12323847207427,9.032046909850877,27.86593,2684.566,0.75143,8343.3034
2009,0.0,38.540317460227456,57.896880231319436,8.07127217140295,28.26932,3554.988,0.74799,7167.8772
2010,0.09053640066480183,0.03830386181972385,57.6705219905646,8.651207186250195,31.55557,4425.41,0.74425,8880.1458
2011,0.061677350497271924,68.55094855824566,57.98497641150511,8.6236016159877,31.57035,4586.248,0.74097,10209.3719
2012,,,58.299430832445594,8.636941627389582,31.96504,4747.086,0.73701,10601.5105
2013,0.3451158655172406,249.56854709572224,58.61388525338609,9.139349852149376,35.30234,4907.924,0.73357,10727.669
2014,1.101074776405856,7939.500613252908,58.928339674326594,9.490138855984615,36.32241,5068.762000000001,0.72944,11045.5801
2015,0.2768047322537026,9.688165628879592,59.24279409526708,9.381112747298877,37.03058,5229.6,0.72562,9699.6005
2016,0.14590937670115267,101.1056822249835,58.78752092527774,9.122062737986916,37.03085,4583.57,0.72064,9555.6696
2017,0.2626986165727926,70.08111069975844,58.6348805356871,8.78988475849522,37.03085,4736.86,0.71771,9979.7045
2018,0.006172978398186799,52.16166746467845,58.48224014609649,9.191378302925395,37.03085,5011.18,0.71351,11073.979
2019,0.00609681374416916,75.69803944760429,58.32959975650586,9.210301420374698,37.03085,3966.82,0.71025,11132.1027
2020,0.0,65.91266449965818,58.17695936691523,9.099058035945973,37.03085,5197.2,0.70649,10164.3444
2021,0.3484852537422402,490.9799804455095,58.024318977324604,,37.03085,5384.35,0.70312,11134.623
2022,0.20036406740353305,267.306291629134,,,37.03085,5669.32,0.69942,11993.1876
2023,0.04663563939283312,245.3821608477776,,,37.03085,6196.01,0.69529,
